psgc_code,reference_year,population,source
1380601240,2024,1631,2024 POPCEN (PSA)
1380601241,2024,91,2024 POPCEN (PSA)
1380601242,2024,303,2024 POPCEN (PSA)
1380601243,2024,454,2024 POPCEN (PSA)
1380601244,2024,338,2024 POPCEN (PSA)
1380601245,2024,659,2024 POPCEN (PSA)
1380601246,2024,318,2024 POPCEN (PSA)
1380601247,2024,1258,2024 POPCEN (PSA)
1380601248,2024,876,2024 POPCEN (PSA)
1380601249,2024,173,2024 POPCEN (PSA)
1380601250,2024,1750,2024 POPCEN (PSA)
1380601251,2024,1232,2024 POPCEN (PSA)
1380601252,2024,1339,2024 POPCEN (PSA)
1380601253,2024,925,2024 POPCEN (PSA)
1380601254,2024,1339,2024 POPCEN (PSA)
1380601255,2024,3513,2024 POPCEN (PSA)
1380601256,2024,957,2024 POPCEN (PSA)
1380601257,2024,1044,2024 POPCEN (PSA)
1380601258,2024,1341,2024 POPCEN (PSA)
1380601259,2024,708,2024 POPCEN (PSA)
1380601260,2024,2014,2024 POPCEN (PSA)
1380601261,2024,1935,2024 POPCEN (PSA)
1380601262,2024,800,2024 POPCEN (PSA)
1380601263,2024,3638,2024 POPCEN (PSA)
1380601264,2024,1317,2024 POPCEN (PSA)
1380601265,2024,2758,2024 POPCEN (PSA)
1380601266,2024,146,2024 POPCEN (PSA)
1380601267,2024,2072,2024 POPCEN (PSA)
1380601268,2024,1780,2024 POPCEN (PSA)
1380602000,2024,23935,2024 POPCEN (PSA)
1380602001,2024,3117,2024 POPCEN (PSA)
1380602002,2024,2800,2024 POPCEN (PSA)
1380602003,2024,1352,2024 POPCEN (PSA)
1380602004,2024,1713,2024 POPCEN (PSA)
1380602005,2024,2537,2024 POPCEN (PSA)
1380602006,2024,3113,2024 POPCEN (PSA)
1380602007,2024,3708,2024 POPCEN (PSA)
1380602008,2024,1905,2024 POPCEN (PSA)
